x;UP-94M;UP-94F;CSO-80;AT-83M;AT-83F;AT-2000M;AT-2000F;BRS-2010M;BRS-2010F;BRM-2010M;BRM-2010F;SP-2005M;SP-2005F;RV-85M;RV-85F;GAM-94F;GAM-94M;RP-2000F;RP-2000M;BRS-2015M;BRS-2015F;BRM-2015M;BRM-2015F
68;0.021354;0.012648;0.033190;0.017414;0.009731;0.015160;0.009288;0.013230;0.007750;0.017630;0.009270;0.018533;0.008476;0.024306;0.013737;0.011763;0.019859;0.013445;0.017871;0.012499;0.007106;0.015633;0.009793
69;0.023364;0.013665;0.036170;0.019296;0.010653;0.016946;0.010163;0.014460;0.008430;0.019250;0.010090;0.020521;0.009252;0.026435;0.015065;0.012709;0.021729;0.014860;0.019802;0.013597;0.007921;0.016794;0.010598
70;0.025516;0.014763;0.039510;0.021371;0.011697;0.018920;0.011165;0.015810;0.009190;0.021020;0.011000;0.022727;0.010100;0.028750;0.016521;0.013730;0.023730;0.016742;0.022206;0.015036;0.008836;0.018379;0.011522
71;0.027905;0.016079;0.043300;0.023647;0.012905;0.021071;0.012339;0.017300;0.010060;0.022950;0.012020;0.029555;0.014044;0.031392;0.018233;0.014953;0.025951;0.018579;0.024570;0.016676;0.009745;0.020290;0.012482
72;0.030625;0.017748;0.047650;0.026131;0.014319;0.023388;0.013734;0.018930;0.011020;0.025080;0.013120;0.032099;0.015121;0.034280;0.020134;0.016506;0.028481;0.020665;0.027281;0.018700;0.010748;0.022698;0.013600
73;0.033549;0.019724;0.052640;0.028835;0.015980;0.025871;0.015391;0.020720;0.012040;0.027400;0.014300;0.034899;0.016309;0.037436;0.022245;0.018344;0.031201;0.022970;0.030387;0.020875;0.011775;0.025412;0.014774
74;0.036614;0.021915;0.058190;0.031794;0.017909;0.028552;0.017326;0.022680;0.013130;0.029940;0.015580;0.037981;0.017621;0.040883;0.024590;0.020381;0.034051;0.025458;0.033900;0.023290;0.012800;0.028066;0.016423
75;0.040012;0.024393;0.064190;0.035046;0.020127;0.031477;0.019551;0.024830;0.014330;0.032730;0.016990;0.041371;0.019068;0.044648;0.027192;0.022686;0.037211;0.028106;0.037834;0.025784;0.013845;0.029893;0.018208
76;0.043933;0.027231;0.070530;0.038631;0.022654;0.034686;0.022075;0.027190;0.015660;0.035780;0.018560;0.045101;0.020664;0.048759;0.030080;0.025325;0.040858;0.030966;0.042169;0.028667;0.015110;0.032695;0.020308
77;0.048570;0.030501;0.077120;0.042587;0.025509;0.038225;0.024910;0.029770;0.017140;0.039120;0.020300;0.049200;0.022424;0.053244;0.033284;0.028366;0.045171;0.034105;0.046906;0.031721;0.016645;0.035878;0.022302
78;0.053991;0.034115;0.083900;0.046951;0.028717;0.042132;0.028074;0.032610;0.018760;0.042780;0.022210;0.053706;0.024365;0.058137;0.036836;0.031727;0.050211;0.037595;0.052123;0.034842;0.018612;0.039886;0.024797
79;0.060066;0.038024;0.091050;0.051755;0.032328;0.046427;0.031612;0.035730;0.020550;0.046790;0.024310;0.058654;0.026505;0.063472;0.040774;0.035362;0.055861;0.041506;0.057927;0.038234;0.021060;0.042966;0.027602
80;0.066696;0.042361;0.098840;0.057026;0.036395;0.051128;0.035580;0.039140;0.022640;0.051180;0.026740;0.064087;0.028864;0.069285;0.045138;0.039396;0.062027;0.045879;0.064368;0.041785;0.024047;0.047917;0.030939
81;0.073780;0.047260;0.107480;0.062791;0.040975;0.056250;0.040030;0.042890;0.025160;0.055980;0.029620;0.070048;0.031463;0.075615;0.049971;0.043952;0.068615;0.050780;0.072041;0.045799;0.027337;0.052842;0.034852
82;0.081217;0.052853;0.117250;0.069081;0.046121;0.061809;0.045017;0.047000;0.028170;0.061250;0.033070;0.076584;0.034326;0.082506;0.055320;0.049153;0.075532;0.056294;0.080486;0.049948;0.030791;0.058654;0.039466
83;0.088721;0.058986;0.128260;0.075908;0.051889;0.067826;0.050600;0.051500;0.031760;0.067010;0.037110;0.083746;0.037480;0.090000;0.061237;0.054857;0.082510;0.062506;0.089718;0.054402;0.034291;0.063823;0.044495
84;0.096358;0.065569;0.140250;0.083230;0.058336;0.074322;0.056865;0.056450;0.035770;0.073320;0.041850;0.091587;0.040952;0.098145;0.067779;0.060979;0.089613;0.069517;0.099779;0.059700;0.038171;0.069499;0.049723
85;0.104559;0.072836;0.152950;0.090987;0.065518;0.081326;0.063907;0.061870;0.040420;0.080240;0.047490;0.100166;0.044773;0.106990;0.075005;0.067738;0.097240;0.077446;0.110757;0.066509;0.042889;0.077392;0.055940
86;0.113755;0.081018;0.166090;0.099122;0.073493;0.088863;0.071815;0.067820;0.045820;0.087810;0.054130;0.109541;0.048977;0.116586;0.082980;0.075347;0.105792;0.086376;0.122797;0.074419;0.049018;0.084794;0.062759
87;0.124377;0.090348;0.179550;0.107577;0.082318;0.096958;0.080682;0.074340;0.052190;0.096090;0.061700;0.119778;0.053600;0.126987;0.091775;0.084023;0.115671;0.096337;0.136043;0.083960;0.056046;0.094322;0.069944
88;0.136537;0.100882;0.193270;0.116316;0.092017;0.105631;0.090557;0.081500;0.059280;0.105170;0.070400;0.130941;0.058681;0.138249;0.101463;0.093820;0.126980;0.107303;0.150590;0.093439;0.063222;0.101914;0.077022
